2009-11-25 01:41:00 status half-configured libpam-runtime 1.0.1-5+lenny1
2009-11-25 01:41:01 status installed libpam-runtime 1.0.1-5+lenny1
2009-11-25 01:41:01 configure gcc-4.3-base 4.3.2-1.1 4.3.2-1.1
2009-11-25 01:41:01 status unpacked gcc-4.3-base 4.3.2-1.1
2009-11-25 01:41:01 status half-configured gcc-4.3-base 4.3.2-1.1
2009-11-25 01:41:01 status installed gcc-4.3-base 4.3.2-1.1
2009-11-25 01:41:01 configure libc6 2.7-18 2.7-18
2009-11-25 01:41:01 status unpacked libc6 2.7-18
2009-11-25 01:41:01 status unpacked libc6 2.7-18
2009-11-25 01:41:01 status unpacked libc6 2.7-18
2009-11-25 01:41:01 status unpacked libc6 2.7-18
2009-11-25 01:41:01 status unpacked libc6 2.7-18
2009-11-25 01:41:01 status unpacked libc6 2.7-18
2009-11-25 01:41:01 status half-configured libc6 2.7-18
2009-11-25 01:41:01 status installed libc6 2.7-18
2009-11-25 01:41:01 configure mktemp 1.5-9 1.5-9
2009-11-25 01:41:01 status unpacked mktemp 1.5-9
2009-11-25 01:41:01 status half-configured mktemp 1.5-9
2009-11-25 01:41:01 status installed mktemp 1.5-9
2009-11-25 01:41:01 configure debianutils 2.30 2.30
2009-11-25 01:41:01 status unpacked debianutils 2.30
2009-11-25 01:41:01 status half-configured debianutils 2.30
2009-11-25 01:41:01 status installed debianutils 2.30
2009-11-25 01:41:01 configure bsdutils 1:2.13.1.1-1 1:2.13.1.1-1
2009-11-25 01:41:01 status unpacked bsdutils 1:2.13.1.1-1
2009-11-25 01:41:01 status half-configured bsdutils 1:2.13.1.1-1
2009-11-25 01:41:01 status installed bsdutils 1:2.13.1.1-1
2009-11-25 01:41:01 configure libsepol1 2.0.30-2 2.0.30-2
2009-11-25 01:41:01 status unpacked libsepol1 2.0.30-2
2009-11-25 01:41:01 status half-configured libsepol1 2.0.30-2
2009-11-25 01:41:01 status installed libsepol1 2.0.30-2
2009-11-25 01:41:01 configure tar 1.20-1 1.20-1
2009-11-25 01:41:01 status unpacked tar 1.20-1
2009-11-25 01:41:01 status unpacked tar 1.20-1
2009-11-25 01:41:01 status half-configured tar 1.20-1
2009-11-25 01:41:01 status installed tar 1.20-1
2009-11-25 01:41:02 configure zlib1g 1:1.2.3.3.dfsg-12 1:1.2.3.3.dfsg-12
2009-11-25 01:41:02 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2009-11-25 01:41:02 status half-configured zlib1g 1:1.2.3.3.dfsg-12
2009-11-25 01:41:02 status installed zlib1g 1:1.2.3.3.dfsg-12
2009-11-25 01:41:02 configure libgcc1 1:4.3.2-1.1 1:4.3.2-1.1
2009-11-25 01:41:02 status unpacked libgcc1 1:4.3.2-1.1
2009-11-25 01:41:02 status half-configured libgcc1 1:4.3.2-1.1
2009-11-25 01:41:02 status installed libgcc1 1:4.3.2-1.1
2009-11-25 01:41:02 configure libncurses5 5.7+20081213-1 5.7+20081213-1
2009-11-25 01:41:02 status unpacked libncurses5 5.7+20081213-1
2009-11-25 01:41:02 status half-configured libncurses5 5.7+20081213-1
2009-11-25 01:41:02 status installed libncurses5 5.7+20081213-1
2009-11-25 01:41:02 configure libattr1 1:2.4.43-2 1:2.4.43-2
